,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
94,A1,CHEMBL28531,O[C@H]1CCC2CN3CCc4cc5c(cc4[C@@H]3C[C@@H]2C1)OCO5,Relative potency,=,0.03,,CHEMBL2094251,,,CHEMBL1123932,3.260201,4.781138
95,A1,CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,pA2,=,6.83,,CHEMBL2094251,,,CHEMBL1123932,23.131466,-7.4880295
96,A1,CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,Relative potency,=,1.0,,CHEMBL2094251,,,CHEMBL1123932,22.958101,-7.7199273
97,A1,CHEMBL29379,O[C@@H]1CCC2CN3CCc4cc5c(cc4[C@@H]3C[C@@H]2C1)OCO5,pA2,=,4.98,,CHEMBL2094251,,,CHEMBL1123932,3.380324,4.7424746
98,A1,CHEMBL29379,O[C@@H]1CCC2CN3CCc4cc5c(cc4[C@@H]3C[C@@H]2C1)OCO5,Relative potency,=,0.01,,CHEMBL2094251,,,CHEMBL1123932,3.3111663,4.730411
99,A1,CHEMBL10316,c1ccc2c(c1)OCC(C1=NCCN1)O2,pA2,=,6.85,,CHEMBL2094251,,,CHEMBL1123932,0.25927702,4.623285
100,A1,CHEMBL10316,c1ccc2c(c1)OCC(C1=NCCN1)O2,Relative potency,=,1.1,,CHEMBL2094251,,,CHEMBL1123932,0.25072286,4.5258613
101,A1,CHEMBL281708,COC(=O)[C@H]1[C@H]2C[C@H]3c4cc5c(cc4CCN3C[C@H]2CC[C@H]1O)OCO5,pA2,=,6.19,,CHEMBL2094251,,,CHEMBL1123932,3.6897848,6.170306
102,A1,CHEMBL281708,COC(=O)[C@H]1[C@H]2C[C@H]3c4cc5c(cc4CCN3C[C@H]2CC[C@H]1O)OCO5,Relative potency,=,0.22,,CHEMBL2094251,,,CHEMBL1123932,3.596642,6.1461034
103,A1,CHEMBL298936,Cc1c(NC2=NCCN2)ccc2c1NCCO2,Ki,=,470.0,nM,CHEMBL2094251,,,CHEMBL1150520,-1.6160415,-3.5979018
104,A1,CHEMBL142243,COCC1=C(C(=O)OC)C(c2ccc(F)c(F)c2)N(C(=O)NCCCN2CCC(C)(c3ccccc3)CC2)C(=O)N1,Ratio,>,400.0,,CHEMBL2094251,,,CHEMBL1132477,2.76395,3.7812192
105,A1,CHEMBL49395,c1cnc2cc(NC3=NCCN3)ccc2n1,Ki,=,11000.0,nM,CHEMBL2094251,,,CHEMBL1150520,-0.5952137,-3.2401476
106,A1,CHEMBL14987,Cc1cc2c(s1)CCC(CN[C@H]1CC[C@@H](Oc3ccccc3)[C@@H]1O)C2=O,pA2,=,7.04,,CHEMBL2094251,,,CHEMBL1122929,0.3655508,1.3549814
